,Text,File_name,book_id
0,profane lo thus done midst mine house furthermore ye sent men come far unto messenger sent lo came thou didst wash thyself paintedst thy eyes deckedst thyself ornaments satest upon stately bed table prepared whereupon thou hast set mine incense mine oil voice multitude ease men common sort brought sabeans wilderness put bracelets upon hands beautiful crowns upon heads said unto old adulteries commit whoredoms,bible-kjv.txt,0
1,people refused obey voice samuel said nay king us also may like nations king may judge us go us fight battles samuel heard words people rehearsed ears lord lord said samuel hearken unto voice make king samuel said unto men israel go ye every man unto city man benjamin whose name kish son abiel son zeror son bechorath son aphiah benjamite,bible-kjv.txt,0
2,casting devils thy name followeth us forbad followeth us jesus said forbid man shall miracle name lightly speak evil us part whosoever shall give cup water drink name ye belong christ verily say unto shall lose reward whosoever shall offend one little ones believe better millstone hanged neck cast sea thy hand offend thee cut,bible-kjv.txt,0
3,egyptians fled lord overthrew egyptians midst sea waters returned covered chariots horsemen host pharaoh came sea remained much one children israel walked upon dry land midst sea waters wall unto right hand left thus lord saved israel day hand egyptians israel saw egyptians dead upon sea shore israel saw great work lord upon egyptians people feared lord believed lord servant moses,bible-kjv.txt,0
4,sing praises unto king sing praises god king earth sing ye praises understanding god reigneth heathen god sitteth upon throne holiness princes people gathered together even people god abraham shields earth belong unto god greatly exalted great lord greatly praised city god mountain holiness beautiful situation joy whole earth mount zion sides north city great king god known palaces refuge lo kings assembled,bible-kjv.txt,0
5,mouth jeremiah fourth year jehoiakim son josiah king judah saying thus saith lord god israel unto thee baruch thou didst say woe lord hath added grief sorrow fainted sighing find rest thus shalt thou say unto lord saith thus behold built break planted pluck even whole land seekest thou great things thyself seek behold bring evil upon flesh saith lord thy life give unto thee prey,bible-kjv.txt,0
6,us obtained part ministry man purchased field reward iniquity falling headlong burst asunder midst bowels gushed known unto dwellers jerusalem insomuch field called proper tongue aceldama say field blood written book psalms let habitation desolate let man dwell therein bishoprick let another take wherefore men companied us time lord jesus went among us beginning baptism john unto day taken us,bible-kjv.txt,0
7,captains chariots perceived king israel turned back pursuing certain man drew bow venture smote king israel joints harness therefore said chariot man turn thine hand thou mayest carry host wounded battle increased day howbeit king israel stayed chariot syrians even time sun going died jehoshaphat king judah returned house peace jerusalem jehu son hanani seer went meet said king jehoshaphat shouldest,bible-kjv.txt,0
8,thou shalt make two rings gold thou shalt put upon two ends breastplate border thereof side ephod inward two rings gold thou shalt make shalt put two sides ephod underneath toward forepart thereof coupling thereof curious girdle ephod shall bind breastplate rings thereof unto rings ephod lace blue may curious girdle ephod breastplate loosed ephod aaron shall bear names children israel breastplate judgment upon heart goeth,bible-kjv.txt,0
9,howbeit spirit truth come guide truth shall speak whatsoever shall hear shall speak shew things come shall glorify shall receive mine shall shew unto things father hath mine therefore said shall take mine shall shew unto little ye shall see little ye shall see go father said disciples among saith unto us little,bible-kjv.txt,0
